,Tweet,cleanedTweets
128,"Russian invasion of Ukraine has started not on Feb 24: firstly, they invaded Crimea 8 years ago.🇷🇺 has a long story of attempts to govern the peninsula by сhasing free people of Crimean Tatars, including 1944 genocide and repressions after 2014. So, is Crimea 🇷🇺? @United24media: https://t.co/tv6YP9gMwX","Russian invasion of Ukraine has started not on Feb 24: firstly, they invaded Crimea 8 years ago.🇷🇺 has a long story of attempts to govern the peninsula by сhasing free people of Crimean Tatars, including 1944 genocide and repressions after 2014. So, is Crimea 🇷🇺? : "
129,"Had a cordial conversation with 🇸🇦 Crown Prince Mohammed bin #Salman. Thanked for facilitation in the release of foreign citizens, involvement in mediation and the leading role of 🇸🇦 in the region. We discussed 🇺🇦's energy security, post-war recovery and joint investment projects","Had a cordial conversation with 🇸🇦 Crown Prince Mohammed bin Salman. Thanked for facilitation in the release of foreign citizens, involvement in mediation and the leading role of 🇸🇦 in the region. We discussed 🇺🇦's energy security, post-war recovery and joint investment projects"
130,"🇺🇦 freed 10 foreign citizens from Russian captivity as a sign of gratitude for their help to our state. 5 citizens of 🇬🇧, 2 citizens of 🇺🇸, citizens of 🇲🇦, 🇸🇪, 🇭🇷. They’ll return home with the mediation of Saudi Arabia. I’m truly grateful to everyone who contributed to that! 3/3","🇺🇦 freed 10 foreign citizens from Russian captivity as a sign of gratitude for their help to our state. 5 citizens of 🇬🇧, 2 citizens of 🇺🇸, citizens of 🇲🇦, 🇸🇪, 🇭🇷. They’ll return home with the mediation of Saudi Arabia. I’m truly grateful to everyone who contributed to that! 3/3"
131,"According to our agreements with @RTErdogan, the five released Azov commanders will be in comfortable conditions in Turkey until the end of the war. They will be able to see their families. I sincerely thank President Erdoğan for his leading role in liberating our people. 2/3","According to our agreements with , the five released Azov commanders will be in comfortable conditions in Turkey until the end of the war. They will be able to see their families. I sincerely thank President Erdoğan for his leading role in liberating our people. 2/3"
132,"We returned 215 people from Russian captivity: 188 defenders of #Azovstal and Mariupol. 108 Azov warriors, national guards, marines, border guards, policemen, territorial defense, Security Service employees. They’re safe now. We remember and try to save everyone. 1/3","We returned 215 people from Russian captivity: 188 defenders of Azovstal and Mariupol. 108 Azov warriors, national guards, marines, border guards, policemen, territorial defense, Security Service employees. They’re safe now. We remember and try to save everyone. 1/3"
133,Had a phone conversation with President of Türkiye @RTErdogan. Current security issues were discussed.,Had a phone conversation with President of Türkiye . Current security issues were discussed.
134,"In ancient times, Kupyansk was a powerful Cossack settlement. Russia has left behind here the only thing it is capable of – destruction. But we will revive everything and restore the indomitable spirit of this city. Because Kupyansk is Ukraine. It was, is and will be so. https://t.co/bAxp5yHVPw","In ancient times, Kupyansk was a powerful Cossack settlement. Russia has left behind here the only thing it is capable of – destruction. But we will revive everything and restore the indomitable spirit of this city. Because Kupyansk is Ukraine. It was, is and will be so. "
135,"Had a phone conversation with @UEFA President #Čeferin. Thanked for the solidarity with Ukraine, for the principled position and for the support in the @upl_official restart. We also count on UEFA's assistance in the liberation of captured Ukrainian athletes.","Had a phone conversation with  President Čeferin. Thanked for the solidarity with Ukraine, for the principled position and for the support in the  restart. We also count on UEFA's assistance in the liberation of captured Ukrainian athletes."
136,Russia is a terrorist country. I don't know why the world is slow to recognize it. We liberated Izium. Over 400 graves were found in the forest next to it. How many tortured Ukrainians are there is unknown. How many more of our people must die so that all finally figured it out? https://t.co/0nqqaPPsLK,Russia is a terrorist country. I don't know why the world is slow to recognize it. We liberated Izium. Over 400 graves were found in the forest next to it. How many tortured Ukrainians are there is unknown. How many more of our people must die so that all finally figured it out? 
137,Informed 🇫🇮 President @niinisto about the current situation on the frontline. Discussed further defense cooperation between 🇺🇦 and 🇫🇮. Expressed gratitude for the help provided. The issue of visa restrictions for the citizens of the Russian Federation was touched upon.,Informed 🇫🇮 President  about the current situation on the frontline. Discussed further defense cooperation between 🇺🇦 and 🇫🇮. Expressed gratitude for the help provided. The issue of visa restrictions for the citizens of the Russian Federation was touched upon.
138,"I praise the decision by @POTUS to allocate up to $600 million as another defense aid package for 🇺🇦. Our interaction proved its efficiency on the front. 🇺🇦 strives for freedom. And with the solidarity &amp; sincere support of partners, it amazes the whole world. Together we’ll win!","I praise the decision by  to allocate up to $600 million as another defense aid package for 🇺🇦. Our interaction proved its efficiency on the front. 🇺🇦 strives for freedom. And with the solidarity &amp; sincere support of partners, it amazes the whole world. Together we’ll win!"
139,"Talked with @JustinTrudeau. Discussed the situation at the front, the importance of greater security support for 🇺🇦, the post-war recovery plan, the partners' aid, the situation at ZNPP - we must stop Russia's nuclear terrorism. Thanked 🇨🇦 for a crucial help in energy sphere.","Talked with . Discussed the situation at the front, the importance of greater security support for 🇺🇦, the post-war recovery plan, the partners' aid, the situation at ZNPP - we must stop Russia's nuclear terrorism. Thanked 🇨🇦 for a crucial help in energy sphere."
140,"Counteroffensive in north-east has confirmed once again: Ukrainians are waiting for 🇺🇦 Army. 6 months of 🇷🇺 occupation of Balakliya, Kharkiv region: darkness, murders, lack of humanitarian aid. Barbarians don't value human life. More on @United24media: https://t.co/OTvABqoJMb","Counteroffensive in north-east has confirmed once again: Ukrainians are waiting for 🇺🇦 Army. 6 months of 🇷🇺 occupation of Balakliya, Kharkiv region: darkness, murders, lack of humanitarian aid. Barbarians don't value human life. More on : "
141,"While most modern states promote human progress, Russia on the contrary starts wars &amp; invades neighboring countries. For how long will the world take such an imperialistic approach for granted? Scenarios of Russian aggression described by @United24media: https://t.co/TtjoX9TX7V","While most modern states promote human progress, Russia on the contrary starts wars &amp; invades neighboring countries. For how long will the world take such an imperialistic approach for granted? Scenarios of Russian aggression described by : "
142,Had a phone conversation with IMF Managing Director @KGeorgieva. Thanked for the allocation of $1.4 billion of additional support. Discussed future cooperation to increase Ukraine's financial stability.,Had a phone conversation with IMF Managing Director . Thanked for the allocation of $1.4 billion of additional support. Discussed future cooperation to increase Ukraine's financial stability.
143,Had a conversation with 🇮🇹 PM #MarioDraghi. Informed about the developments at the front. Noted the importance of defense cooperation with 🇮🇹. We should enhance it. Discussed the situation at the ZNPP. The guarantee of its security is demilitarization and return under 🇺🇦 control.,Had a conversation with 🇮🇹 PM MarioDraghi. Informed about the developments at the front. Noted the importance of defense cooperation with 🇮🇹. We should enhance it. Discussed the situation at the ZNPP. The guarantee of its security is demilitarization and return under 🇺🇦 control.
144,We are launching the official Ukrainian marketplace @MadeWithBravery to present our makers to the world. Strong and creative. 5% of the item cost goes to United24. That's why every purchase is a brick that can rebuild 🇺🇦. https://t.co/z1UyfTvlq3,We are launching the official Ukrainian marketplace  to present our makers to the world. Strong and creative. 5% of the item cost goes to United24. That's why every purchase is a brick that can rebuild 🇺🇦. 
145,"A total blackout in the Kharkiv &amp; Donetsk regions, a partial one in the Zaporizhzhia, Dnipropetrovsk &amp; Sumy regions. RF terrorists remain terrorists &amp; attack critical infrastructure. No military facilities, the goal is to deprive people of light &amp; heat. #RussiaIsATerroristState","A total blackout in the Kharkiv &amp; Donetsk regions, a partial one in the Zaporizhzhia, Dnipropetrovsk &amp; Sumy regions. RF terrorists remain terrorists &amp; attack critical infrastructure. No military facilities, the goal is to deprive people of light &amp; heat. RussiaIsATerroristState"
146,"Today we pay tribute to the victims of 9/11. It is one of the most tragic days in the history of 🇺🇸 &amp; the world. Facing missile attacks daily, 🇺🇦 knows well what terrorism is and sincerely sympathizes with the 🇺🇸 people. Terrorism is an evil that has no place in the modern world!","Today we pay tribute to the victims of 9/11. It is one of the most tragic days in the history of 🇺🇸 &amp; the world. Facing missile attacks daily, 🇺🇦 knows well what terrorism is and sincerely sympathizes with the 🇺🇸 people. Terrorism is an evil that has no place in the modern world!"
147,I talked with @EmmanuelMacron by phone. I briefed him on the course of hostilities. I raised the issue of banning visas for Russians. Much time was given to the crisis at #ZNPP. Our position is the only way to protect Europe from a nuclear disaster is to demilitarize the plant.,I talked with  by phone. I briefed him on the course of hostilities. I raised the issue of banning visas for Russians. Much time was given to the crisis at ZNPP. Our position is the only way to protect Europe from a nuclear disaster is to demilitarize the plant.
148,"From the first day of the full-scale invasion, the war is no longer the women's or men's business. It is the business of the citizens. 5K Ukrainian women are defending 🇺🇦 on a frontline; @United24media on women's contribution to the joint victory: https://t.co/u9FDNplhrM","From the first day of the full-scale invasion, the war is no longer the women's or men's business. It is the business of the citizens. 5K Ukrainian women are defending 🇺🇦 on a frontline;  on women's contribution to the joint victory: "
149,"It is with deep sadness that we learned of the death of Her Majesty Queen Elizabeth II. On behalf of the 🇺🇦 people, we extend sincere condolences to the @RoyalFamily, the entire United Kingdom and the Commonwealth over this irreparable loss. Our thoughts and prayers are with you.","It is with deep sadness that we learned of the death of Her Majesty Queen Elizabeth II. On behalf of the 🇺🇦 people, we extend sincere condolences to the , the entire United Kingdom and the Commonwealth over this irreparable loss. Our thoughts and prayers are with you."
150,Had the 1st conversation in the history of bilateral relations with newly elected 🇰🇪 President @WilliamsRuto. Congratulated on his victory. Thanked 🇰🇪 as a UNSC member for its support in international organizations. 🇺🇦 will continue to be the guarantor of Africa's food security.,Had the 1st conversation in the history of bilateral relations with newly elected 🇰🇪 President . Congratulated on his victory. Thanked 🇰🇪 as a UNSC member for its support in international organizations. 🇺🇦 will continue to be the guarantor of Africa's food security.
151,"Had a phone conversation with 🇩🇪 Chancellor @OlafScholz on a wide range of topics. Thanked for the confirmation of the €5 billion macro-financial aid from the EU, stressed the need for a full-fledged IMF program. Discussed plans for further strengthening 🇺🇦 defense capabilities.","Had a phone conversation with 🇩🇪 Chancellor  on a wide range of topics. Thanked for the confirmation of the €5 billion macro-financial aid from the EU, stressed the need for a full-fledged IMF program. Discussed plans for further strengthening 🇺🇦 defense capabilities."
152,We discussed the participation of 🇬🇧 in the recovery of 🇺🇦. Coordinated further pressure on the RF. The goal is to stop the aggression &amp; bring the perpetrators to justice. It's important to designate the RF a terrorist state. We'll continue active interaction in all formats. 2/2,We discussed the participation of 🇬🇧 in the recovery of 🇺🇦. Coordinated further pressure on the RF. The goal is to stop the aggression &amp; bring the perpetrators to justice. It's important to designate the RF a terrorist state. We'll continue active interaction in all formats. 2/2
153,I became the 1st foreign leader to have a conversation with the newly elected 🇬🇧 PM @trussliz. Invited her to 🇺🇦. Thanked 🇬🇧 people for the major defense &amp; economic aid for 🇺🇦. It's important that 🇬🇧 is ready to further strengthen it. Attention was paid to security guarantees 1/2,I became the 1st foreign leader to have a conversation with the newly elected 🇬🇧 PM . Invited her to 🇺🇦. Thanked 🇬🇧 people for the major defense &amp; economic aid for 🇺🇦. It's important that 🇬🇧 is ready to further strengthen it. Attention was paid to security guarantees 1/2
154,"I had a productive conversation with @MinPres. We coordinated steps to counter the RF, increase sanction pressure on the aggressor, security &amp; macro-financial aid to Ukraine. We also discussed cooperation in promoting 🇺🇦 initiatives within the #UN. We enjoy 🇳🇱’s firm support.","I had a productive conversation with . We coordinated steps to counter the RF, increase sanction pressure on the aggressor, security &amp; macro-financial aid to Ukraine. We also discussed cooperation in promoting 🇺🇦 initiatives within the UN. We enjoy 🇳🇱’s firm support."
155,"Ukraine continues to save the world with its grain. In addition to previous ships with 🇺🇦 grain for Africa, 28,600 tons of 🇺🇦 wheat will arrive in Somalia in the coming weeks. In this country, due to the war of the RF against 🇺🇦, the UN predicted a famine by the end of this year.","Ukraine continues to save the world with its grain. In addition to previous ships with 🇺🇦 grain for Africa, 28,600 tons of 🇺🇦 wheat will arrive in Somalia in the coming weeks. In this country, due to the war of the RF against 🇺🇦, the UN predicted a famine by the end of this year."
156,Had a warm fruitful conversation with @SpeakerPelosi. Expressed gratitude to 🇺🇸 Congress &amp; people for strongly supporting 🇺🇦 in the fight against Russian aggression. It’s important to increase the pressure on the terrorist state to achieve peace &amp; bring our common victory closer.,Had a warm fruitful conversation with . Expressed gratitude to 🇺🇸 Congress &amp; people for strongly supporting 🇺🇦 in the fight against Russian aggression. It’s important to increase the pressure on the terrorist state to achieve peace &amp; bring our common victory closer.
157,"Had a summing up conversation with @BorisJohnson in his current capacity. On behalf of all 🇺🇦 people, I thanked him for his personal bravery, principles &amp; a major contribution to countering RF's aggression. I look forward to cooperation with a great friend of 🇺🇦 in a new status.","Had a summing up conversation with  in his current capacity. On behalf of all 🇺🇦 people, I thanked him for his personal bravery, principles &amp; a major contribution to countering RF's aggression. I look forward to cooperation with a great friend of 🇺🇦 in a new status."
158,"Held substantive, more than 1.5 hour-long talks with 🇫🇷 President @EmmanuelMacron. Told him about the situation at the front &amp; the course of countering RF's aggression. Coordinated further defense support from 🇫🇷. Exchanged assessments of the results of the IAEA mission to #ZNPP","Held substantive, more than 1.5 hour-long talks with 🇫🇷 President . Told him about the situation at the front &amp; the course of countering RF's aggression. Coordinated further defense support from 🇫🇷. Exchanged assessments of the results of the IAEA mission to ZNPP"
159,Coordinated with @vonderleyen steps to limit Russia's excess profits from the sale of oil and gas. Considered the possibility of a quick assessment by the European Commission as soon as Ukraine fulfills its seven recommendations.  (2/2),Coordinated with  steps to limit Russia's excess profits from the sale of oil and gas. Considered the possibility of a quick assessment by the European Commission as soon as Ukraine fulfills its seven recommendations.  (2/2)
160,"Had a phone conversation with President of the European Commission @vonderleyen. Discussed the allocation of the next tranche of #EU macro-fin aid ASAP. Emphasized the need to prepare the 8th package of sanctions, including a ban on issuing visas to Russian citizens.  (1/2)","Had a phone conversation with President of the European Commission . Discussed the allocation of the next tranche of EU macro-fin aid ASAP. Emphasized the need to prepare the 8th package of sanctions, including a ban on issuing visas to Russian citizens.  (1/2)"
161,Freedom,Freedom
162,I've held the first telephone conversation with the new Prime Minister of Israel @yairlapid. I count on his country’s accession to the sanctions on Russia and provision of practical assistance to Ukraine in countering the aggression of the Russian Federation.,I've held the first telephone conversation with the new Prime Minister of Israel . I count on his country’s accession to the sanctions on Russia and provision of practical assistance to Ukraine in countering the aggression of the Russian Federation.
163,Had a great conversation with @POTUS. Thanked for the unwavering U.S. support for Ukrainian people – security and financial. We discussed Ukraine’s further steps on our path to the victory over the aggressor and importance of holding Russia accountable for war crimes. https://t.co/4edng8vkvn,Had a great conversation with . Thanked for the unwavering U.S. support for Ukrainian people – security and financial. We discussed Ukraine’s further steps on our path to the victory over the aggressor and importance of holding Russia accountable for war crimes. 
164,"Grateful to @POTUS and the people of 🇺🇸 for the powerful congratulations on 🇺🇦 Independence Day - an unprecedented package of security assistance of almost $3 billion. The people of Ukraine, all our defenders highly appreciate 🇺🇸's unwavering support. Together we will win!","Grateful to  and the people of 🇺🇸 for the powerful congratulations on 🇺🇦 Independence Day - an unprecedented package of security assistance of almost $3 billion. The people of Ukraine, all our defenders highly appreciate 🇺🇸's unwavering support. Together we will win!"
165,"The history of Ukraine's independence is quite dramatic and inspiring. Ukrainian nation was fighting for centuries and continues to do so since Feb 24. Devotion, bravery, freedom. Our land - our independence. Brief historic update by @United24media: https://t.co/l66r5QYI6B. https://t.co/W68zn4wvtB","The history of Ukraine's independence is quite dramatic and inspiring. Ukrainian nation was fighting for centuries and continues to do so since Feb 24. Devotion, bravery, freedom. Our land - our independence. Brief historic update by :  "
166,"Difficult, but so important and necessary VICTORY!
Defending the title of world champion is a symbol that all those who are of Cossack sort will not give up their own, they will fight for it and will definitely win!

Photo: MatchroomBoxing https://t.co/oSgw0Ek2kK","Difficult, but so important and necessary VICTORY! Defending the title of world champion is a symbol that all those who are of Cossack sort will not give up their own, they will fight for it and will definitely win!  Photo: MatchroomBoxing "
167,"Happy 🇪🇪 Independence Day to @AlarKaris, all friendly Estonian people. Our states, once experienced the loss of independence, best understand its value. That's why Estonians so ardently support 🇺🇦 in the fight against the aggressor. Thank you for this. I wish 🇪🇪 peace, prosperity","Happy 🇪🇪 Independence Day to , all friendly Estonian people. Our states, once experienced the loss of independence, best understand its value. That's why Estonians so ardently support 🇺🇦 in the fight against the aggressor. Thank you for this. I wish 🇪🇪 peace, prosperity"
168,I highly appreciate another 🇺🇸 military aid package in the amount of $775 million. Thank you @POTUS for this decision! We have taken another important step to defeat the aggressor. 🇺🇦 will be free!,I highly appreciate another 🇺🇸 military aid package in the amount of $775 million. Thank you  for this decision! We have taken another important step to defeat the aggressor. 🇺🇦 will be free!
169,"The world is on a verge of nuclear disaster due to occupation of world's third largest nuclear power plant in Energodar, Zaporizhzhia region. How long will it take the global community to respond to Russia's irresponsible actions and nuclear blackmailing? 
https://t.co/lGHlhALMqV","The world is on a verge of nuclear disaster due to occupation of world's third largest nuclear power plant in Energodar, Zaporizhzhia region. How long will it take the global community to respond to Russia's irresponsible actions and nuclear blackmailing?  "
170,Had the 1st conversation with President @HHichilema in the history of bilateral relations with Zambia. Appreciate the support for 🇺🇦 in international organizations. Noted help to 🇿🇲 students in evacuation due to RF's aggression. 🇺🇦 will enhance interaction with the African region,Had the 1st conversation with President  in the history of bilateral relations with Zambia. Appreciate the support for 🇺🇦 in international organizations. Noted help to 🇿🇲 students in evacuation due to RF's aggression. 🇺🇦 will enhance interaction with the African region
171,"Continued dialogue with 🇫🇷 President @EmmanuelMacron. Informed about the situation at the front, Russia's nuclear terrorism at the ZNPP. Thanked for 🇫🇷's tangible defense aid. Discussed macro-financial aid to 🇺🇦 &amp; food security challenges. We must increase sanctions on Russia.","Continued dialogue with 🇫🇷 President . Informed about the situation at the front, Russia's nuclear terrorism at the ZNPP. Thanked for 🇫🇷's tangible defense aid. Discussed macro-financial aid to 🇺🇦 &amp; food security challenges. We must increase sanctions on Russia."
172,Had a fruitful conversation with 🇩🇰 PM #Frederiksen. Thanked for the successful meeting of the defense ministers &amp; the new aid package from 🇩🇰. Noted 🇩🇰's leadership in the reconstruction of Mykolaiv region. Discussed increasing financial support to 🇺🇦 &amp; sanctions against Russia.,Had a fruitful conversation with 🇩🇰 PM Frederiksen. Thanked for the successful meeting of the defense ministers &amp; the new aid package from 🇩🇰. Noted 🇩🇰's leadership in the reconstruction of Mykolaiv region. Discussed increasing financial support to 🇺🇦 &amp; sanctions against Russia.
173,"Held the 1st talks in the history of relations with President of Niger @mohamedbazoum. Thanked for supporting 🇺🇦 in the #UN, agreed on the development of bilateral cooperation &amp; participation in international projects. Assured that Ukraine will remain a guarantor of food security","Held the 1st talks in the history of relations with President of Niger . Thanked for supporting 🇺🇦 in the UN, agreed on the development of bilateral cooperation &amp; participation in international projects. Assured that Ukraine will remain a guarantor of food security"
174,"Talked to @Pontifex_it. Briefed him on RF aggression against 🇺🇦, its horrible crimes. Grateful to the pontiff for his prayers for 🇺🇦. Our people need support of world spiritual leaders who should convey to the world the truth about acts of horror committed by the aggressor in 🇺🇦.","Talked to . Briefed him on RF aggression against 🇺🇦, its horrible crimes. Grateful to the pontiff for his prayers for 🇺🇦. Our people need support of world spiritual leaders who should convey to the world the truth about acts of horror committed by the aggressor in 🇺🇦."
175,"Had the 1st conversation in the history of bilateral relations with 🇬🇭 President @NAkufoAddo. Talked about supporting 🇺🇦 in international organizations, including UNSC; 🇺🇦's willingness to guarantee food security in the region. We're actively enhancing cooperation with Africa!","Had the 1st conversation in the history of bilateral relations with 🇬🇭 President . Talked about supporting 🇺🇦 in international organizations, including UNSC; 🇺🇦's willingness to guarantee food security in the region. We're actively enhancing cooperation with Africa!"
176,"Had a conversation with 🇨🇩 President @FelixUdps. During the 1st ever 🇨🇩🇺🇦 talks, I stressed the need to overcome food crisis caused by RF's aggression against 🇺🇦. I noted the importance of 🇨🇩 support for 🇺🇦, particularly in the UN. Determined to deepen cooperation with Africa!","Had a conversation with 🇨🇩 President . During the 1st ever 🇨🇩🇺🇦 talks, I stressed the need to overcome food crisis caused by RF's aggression against 🇺🇦. I noted the importance of 🇨🇩 support for 🇺🇦, particularly in the UN. Determined to deepen cooperation with Africa!"
177,I'm grateful to the people of 🇺🇸 and @POTUS personally for allocating another unprecedented security aid package of $1 billion to🇺🇦. Every dollar of such aid is a step towards defeating the aggressor. We'll always remember leadership support of 🇺🇸 at a time when it's most needed!,I'm grateful to the people of 🇺🇸 and  personally for allocating another unprecedented security aid package of $1 billion to🇺🇦. Every dollar of such aid is a step towards defeating the aggressor. We'll always remember leadership support of 🇺🇸 at a time when it's most needed!
178,Positively assessed the start of grain export by sea. Coordinated preparations for the Crimea Platform Summit and other events. Emphasized the importance of unblocking the package of macro-financial assistance for Ukraine as soon as possible. (2/2),Positively assessed the start of grain export by sea. Coordinated preparations for the Crimea Platform Summit and other events. Emphasized the importance of unblocking the package of macro-financial assistance for Ukraine as soon as possible. (2/2)
179,"Talked with @eucopresident Charles Michel, told about the situation on the battlefield, in particular at the Zaporizhzhia NPP. Russian nuclear terror requires a stronger response from the international community - sanctions on the Russian nuclear industry and nuclear fuel. (1/2)","Talked with  Charles Michel, told about the situation on the battlefield, in particular at the Zaporizhzhia NPP. Russian nuclear terror requires a stronger response from the international community - sanctions on the Russian nuclear industry and nuclear fuel. (1/2)"
180,Had the 1st conversation in the history of 🇺🇦🇲🇼 relations with President of Malawi @LAZARUSCHAKWERA. Appreciate the support within international organizations. Aim to boost interaction. A key area is guaranteeing food security in the region. Expanding the anti-war coalition.,Had the 1st conversation in the history of 🇺🇦🇲🇼 relations with President of Malawi . Appreciate the support within international organizations. Aim to boost interaction. A key area is guaranteeing food security in the region. Expanding the anti-war coalition.
181,Had the 1st conversation in bilateral relations' history with President of Guinea-Bissau @USEmbalo. Congratulated 🇬🇼 leader on election as ECOWAS Chairman. Discussed support for 🇺🇦 in international organizations. Noted 🇺🇦's readiness to be a food security guarantor in the region.,Had the 1st conversation in bilateral relations' history with President of Guinea-Bissau . Congratulated 🇬🇼 leader on election as ECOWAS Chairman. Discussed support for 🇺🇦 in international organizations. Noted 🇺🇦's readiness to be a food security guarantor in the region.
182,"Thank you @POTUS for your leadership, robust support of 🇺🇦 and understanding that 🇷🇺 is a threat to entire civilized world. Together we are defending values of freedom common to both 🇺🇦 &amp; 🇺🇸. New defense assistance package is bringing us closer to victory","Thank you  for your leadership, robust support of 🇺🇦 and understanding that 🇷🇺 is a threat to entire civilized world. Together we are defending values of freedom common to both 🇺🇦 &amp; 🇺🇸. New defense assistance package is bringing us closer to victory"
183,"Ukrainian harvest this year is under the threat to be twice less. Our main goal — to prevent global food crisis caused by Russian invasion. Still grains find a way to be delivered alternatively. Watch a new episode of @United24media «Yep, this is Ukraine»: https://t.co/JvaqQcnXb3 https://t.co/hBxuvjlFWc","Ukrainian harvest this year is under the threat to be twice less. Our main goal — to prevent global food crisis caused by Russian invasion. Still grains find a way to be delivered alternatively. Watch a new episode of  «Yep, this is Ukraine»:  "
184,"I maintain continued contact with our partners. Discussed the course of hostilities, 🇺🇦-🇳🇱 defense cooperation and financial support from the #EU with @MinPres. Emphasized the importance of exporting Ukrainian grain by sea ASAP.","I maintain continued contact with our partners. Discussed the course of hostilities, 🇺🇦-🇳🇱 defense cooperation and financial support from the EU with . Emphasized the importance of exporting Ukrainian grain by sea ASAP."
185,"On the Day of Christianization of Kyivan Rus’ - Ukraine &amp; the Day of Ukrainian Statehood, talked with Ecumenical Patriarch Bartholomew. Thanked for prayers for 🇺🇦, wishes of victory &amp; peace.  Told about the terrible crimes of the aggressor, the destruction of almost 200 temples.","On the Day of Christianization of Kyivan Rus’ - Ukraine &amp; the Day of Ukrainian Statehood, talked with Ecumenical Patriarch Bartholomew. Thanked for prayers for 🇺🇦, wishes of victory &amp; peace.  Told about the terrible crimes of the aggressor, the destruction of almost 200 temples."
186,"Had the 1st conversation in the history of 🇺🇦-🇺🇾 relations with President of Uruguay @LuisLacallePou. We're grateful for condemning RF's aggression &amp; supporting 🇺🇦 in international organizations. Urged 🇺🇾, like other Latin American states, to impose sanctions on the aggressor.","Had the 1st conversation in the history of 🇺🇦-🇺🇾 relations with President of Uruguay . We're grateful for condemning RF's aggression &amp; supporting 🇺🇦 in international organizations. Urged 🇺🇾, like other Latin American states, to impose sanctions on the aggressor."
187,"Had phone talk with @TokayevKZ. Thanked for fundamental support of 🇺🇦 territorial integrity, nonrecognition of so-called 'LPR,' 'DPR.' We discussed specific economy, energy, digitalization cooperation projects. Exchanged greetings on 30th anniversary of 🇺🇦🇰🇿 diplomatic relations!","Had phone talk with . Thanked for fundamental support of 🇺🇦 territorial integrity, nonrecognition of so-called 'LPR,' 'DPR.' We discussed specific economy, energy, digitalization cooperation projects. Exchanged greetings on 30th anniversary of 🇺🇦🇰🇿 diplomatic relations!"
188,"Thank you @POTUS for the new defense aid package for Ukraine. Critically important, powerful arms will save our soldiers' lives, speed up the liberation of our land from the Russian aggressor. I appreciate the strategic friendship between our nations. Together to victory! 🇺🇦🤝🇺🇸","Thank you  for the new defense aid package for Ukraine. Critically important, powerful arms will save our soldiers' lives, speed up the liberation of our land from the Russian aggressor. I appreciate the strategic friendship between our nations. Together to victory! 🇺🇦🤝🇺🇸"
189,I have regular contacts with a great friend of Ukraine @BorisJohnson. We talked about intensifying the training of Ukrainian soldiers in 🇬🇧 and other manifold military cooperation. I received assurances that UK support for Ukraine remains strong and unequivocal.,I have regular contacts with a great friend of Ukraine . We talked about intensifying the training of Ukrainian soldiers in 🇬🇧 and other manifold military cooperation. I received assurances that UK support for Ukraine remains strong and unequivocal.
190,"The 1st ever phone call with President of Costa Rica @RodrigoChavesR. Thanked for supporting 🇺🇦 in international organizations, including the UN. Appreciate sanctions introduction on Russia, countering 🇷🇺 propaganda. We keep strengthening the anti-war coalition in Latin America!","The 1st ever phone call with President of Costa Rica . Thanked for supporting 🇺🇦 in international organizations, including the UN. Appreciate sanctions introduction on Russia, countering 🇷🇺 propaganda. We keep strengthening the anti-war coalition in Latin America!"
191,"Watch the pilot episode of Fight for Freedom by our EN-language digital media — UNITED24. To see how military drones change the course of the war and repel the Russian invaders, follow the link below. And donate to the Ukrainian Army of Drones.
https://t.co/hYp8V9pZfd","Watch the pilot episode of Fight for Freedom by our EN-language digital media — UNITED24. To see how military drones change the course of the war and repel the Russian invaders, follow the link below. And donate to the Ukrainian Army of Drones. "
192,Sincerely grateful to #MarioDraghi for unwavering support to 🇺🇦 in fighting against Russian aggression &amp; defending common European values - democracy &amp; freedom. We'll keep working to boost 🇺🇦-🇮🇹 cooperation. I'm convinced that the active support of 🇮🇹 people for 🇺🇦 will continue!,Sincerely grateful to MarioDraghi for unwavering support to 🇺🇦 in fighting against Russian aggression &amp; defending common European values - democracy &amp; freedom. We'll keep working to boost 🇺🇦-🇮🇹 cooperation. I'm convinced that the active support of 🇮🇹 people for 🇺🇦 will continue!
193,Held the 1st talks in the history of bilateral relations with 🇨🇮 President @AOuattara_PRCI. Discussed support for 🇺🇦 within the UN. Told about countering Russia’s artificial creation of the global food crisis. 🇺🇦 aims to open a new page in relations with the African continent!,Held the 1st talks in the history of bilateral relations with 🇨🇮 President . Discussed support for 🇺🇦 within the UN. Told about countering Russia’s artificial creation of the global food crisis. 🇺🇦 aims to open a new page in relations with the African continent!
194,Had a phone conversation with 🇮🇹 Prime Minister #MarioDraghi. Thanked for comprehensive support and solidarity of the Italian people. Also noted the Prime Minister's significant personal contribution to granting Ukraine the status of a candidate country for #EU membership.,Had a phone conversation with 🇮🇹 Prime Minister MarioDraghi. Thanked for comprehensive support and solidarity of the Italian people. Also noted the Prime Minister's significant personal contribution to granting Ukraine the status of a candidate country for EU membership.
195,I maintain a continued dialogue with @AndrzejDuda. Informed the President of Poland about the current situation on the battlefield. Discussed the defense support for Ukraine from Poland and allies. Coordinated our steps to counter Russian aggression.,I maintain a continued dialogue with . Informed the President of Poland about the current situation on the battlefield. Discussed the defense support for Ukraine from Poland and allies. Coordinated our steps to counter Russian aggression.
